masterId,parentId,itemGuid,Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
1300000000070704308,1300000000070704302,23531bc7-bae6-4c5a-843f-a7a783438298,Cheese Pizza Bread,Food,[],false,2.0,8.00,,16.0,0.0,0.0,16.0,16.0,,,,1.32,0.0,0.0,16.0,2.0,4.00,32.00
1300000000070704306,1300000000070704302,fb815adc-5060-4d5e-9954-ec111775314b,Kids Fettucini,Food,[],false,12.0,8.46,,101.5,0.0,0.0,0.0,101.5,,,,8.35,0.0,0.0,0.0,0.0,12.00,101.50
1300000000070704304,1300000000070704302,7b9220cc-35a1-45ad-8ec7-f35bb677535d,Kids Spaghetti,Food,[],false,27.0,8.37,,226.0,1.2,0.0,8.0,224.8,,,,18.53,0.0,0.0,8.0,1.0,28.00,234.00
1300000000070704310,1300000000070704302,b5abe076-0e91-4ce5-a989-ab87cfc18436,Pepperoni Pizza Bread,Food,[],false,8.0,8.00,,64.0,0.0,0.0,0.0,64.0,,,,5.28,0.0,0.0,0.0,0.0,8.00,64.00
1300000000076477259,1300000000076475774,9002ee78-52a2-453c-bd9e-c62c42abc21c,Cannoli,Food,[],false,255.0,8.29,,2114.99,28.14,0.0,82.5,2086.85,,,,170.49,0.0,0.0,82.5,10.0,265.00,2197.49
1300000000076477261,1300000000076475774,1793226d-b797-46a7-a480-ad23e8b4b06a,Lemon Cream Cake,Food,[],false,60.0,12.00,,720.0,4.8,0.0,0.0,715.2,,,,58.9,0.0,0.0,0.0,0.0,60.00,720.00
1300000000076477265,1300000000076475774,ecbb765f-a3ff-47a0-a017-6b67b24c9781,Mini Cannoli,Food,[],false,31.0,3.29,,101.99,0.0,0.0,0.0,101.99,,,,8.37,0.0,0.0,0.0,0.0,31.00,101.99
1300000000076477263,1300000000076475774,403543ec-b792-4559-8684-6a19f3747f86,Tiramisu,Food,[],false,93.0,12.50,,1162.51,26.95,0.0,12.5,1135.56,,,,91.95,0.0,0.0,12.5,1.0,94.00,1175.01
1300000006174366637,1300000000076475774,3cf8e73c-b712-42e3-96e9-97f86e288104,New York Cheese Cake,Food,[],false,42.0,8.50,,357.0,0.0,0.0,17.0,357.0,,,,28.98,0.0,0.0,17.0,2.0,44.00,374.00
1300000006174366638,1300000000076475774,d06f4bce-887d-4b6d-8326-3090573ddcc8,Chocolate Cake,Food,[],false,25.0,6.50,,162.5,1.3,0.0,6.5,161.2,,,,13.14,0.0,0.0,6.5,1.0,26.00,169.00
1300000000070704318,1300000000070704316,ae17cdc8-3133-401f-9fa9-d0effa7e168a,Bottle Coors banquet,Wine,[],false,19.0,5.00,,95.0,0.0,0.0,5.0,95.0,,,,7.6,0.0,0.0,5.0,1.0,20.00,100.00
1300000000070704320,1300000000070704316,798ba56d-5877-4e26-b747-0a247a8e6c16,Bottle Coors Light,Wine,[],false,18.0,5.00,,90.0,0.0,0.0,0.0,90.0,,,,7.2,0.0,0.0,0.0,0.0,18.00,90.00
1300000000070704328,1300000000070704316,44a73b4e-00fb-402a-ab60-ea8022897506,Bottle Moretti,Wine,[],false,13.0,7.00,,91.0,5.08,0.0,0.0,85.92,,,,7.0,0.0,0.0,0.0,0.0,13.00,91.00
1300000000070704332,1300000000070704316,e0bd13ae-ba0b-4ea8-9843-50791cf8ba85,Bottle New Belg 1554,Wine,[],false,17.0,7.00,,119.0,1.27,0.0,0.0,117.73,,,,9.61,0.0,0.0,0.0,0.0,17.00,119.00
1300000000070704326,1300000000070704316,c0f3ee00-1974-43b5-b98a-6e24579e4187,Bottle Peroni,Wine,[],false,34.0,7.00,,238.0,2.97,0.0,0.0,235.03,,,,19.15,0.0,0.0,0.0,0.0,34.00,238.00
1300000000070704324,1300000000070704316,52cae686-f463-425f-bb95-95e01a69cbc8,Bottle Stella,Wine,[],false,21.0,7.00,,147.0,6.82,0.0,7.0,140.18,,,,11.41,0.0,0.0,7.0,1.0,22.00,154.00
1300000000070704358,1300000000070704356,6721cfd4-26b2-47ba-8450-7bdab2681d67,BTL Al Verdi Sangiovese,Wine,[],false,3.0,31.00,,93.0,0.0,0.0,0.0,93.0,,,,7.62,0.0,0.0,0.0,0.0,3.00,93.00
1300000000158670233,1300000000070704356,cca960c8-aee5-4174-8133-4917fd7d7b7b,BTL Auspicion Cabernet,Wine,[],false,4.0,37.00,,148.0,0.0,0.0,0.0,148.0,,,,12.16,0.0,0.0,0.0,0.0,4.00,148.00
1300000000070704360,1300000000070704356,8242ce2a-be3f-4b65-b9f5-843aa99b34eb,BTL Calimoro Montepulciano,Wine,[],false,9.0,37.00,,333.0,3.7,0.0,0.0,329.3,,,,27.05,0.0,0.0,0.0,0.0,9.00,333.00
1300000007867174967,1300000000070704356,37ccb8f5-3fdb-4829-8545-e13026f57574,Campobello Chianti,Wine,[],false,4.0,38.50,,154.0,7.0,0.0,0.0,147.0,,,,12.09,0.0,0.0,0.0,0.0,4.00,154.00
1300000000070704366,1300000000070704356,cf548a2a-9416-49af-acb6-0a2b7538d76f,BTL Dogajolo Red,Wine,[],false,1.0,39.00,,39.0,0.0,0.0,0.0,39.0,,,,3.2,0.0,0.0,0.0,0.0,1.00,39.00
1300000000070704362,1300000000070704356,abf9e93e-039b-4569-885e-ca32c696927c,BTL Due Torri Pinot Noir,Wine,[],false,3.0,36.00,,108.0,0.0,0.0,0.0,108.0,,,,8.85,0.0,0.0,0.0,0.0,3.00,108.00
1300000000070704364,1300000000070704356,9df4e634-c4da-4d6c-908b-96b09bb79e06,BTL Opici Basket,Wine,[],false,4.0,37.00,,148.0,0.0,0.0,0.0,148.0,,,,12.16,0.0,0.0,0.0,0.0,4.00,148.00
1300000000070704368,1300000000070704356,a59984f5-1a0d-48a3-b0d7-96fad41de3b4,BTL Valpolicella,Wine,[],false,1.0,40.00,,40.0,0.0,0.0,0.0,40.0,,,,3.28,0.0,0.0,0.0,0.0,1.00,40.00
1300000000070704336,1300000000070704334,56942418-2bd4-4e8f-8ea0-1e99d468862d,GLS Al Verdi Sangiovese,Wine,[],false,23.0,10.00,,230.0,4.1,0.0,20.0,225.9,,,,18.52,0.0,0.0,20.0,2.0,25.00,250.00
1300000000070704354,1300000000070704334,333b2ada-e0ed-49a0-b83a-3b3cfef650d9,GLS Auspicion Cab,Wine,[],false,30.0,12.00,,360.0,11.04,0.0,0.0,348.96,,,,28.75,0.0,0.0,0.0,0.0,30.00,360.00
1300000000070704352,1300000000070704334,7ca0f6f4-b9a2-4d4f-b3fd-8647fdff5dea,GLS Avia Merlot,Wine,[],false,10.0,10.00,,100.0,0.0,0.0,0.0,100.0,,,,8.18,0.0,0.0,0.0,0.0,10.00,100.00
1300000000070704338,1300000000070704334,7c3eeb25-b534-4359-9c20-689bd8461be1,GLS Calimoro Montepulciano,Wine,[],false,26.0,11.00,,286.0,27.76,0.0,0.0,258.24,,,,21.34,0.0,0.0,0.0,0.0,26.00,286.00
1300000000070704344,1300000000070704334,aa961ebf-1e17-4d4e-9bc9-406a7a9ba2be,GLS Dogajolo Red,Wine,[],false,6.0,12.00,,72.0,0.0,0.0,12.0,72.0,,,,5.94,0.0,0.0,12.0,1.0,7.00,84.00
1300000000070704340,1300000000070704334,de8467df-3b93-4283-a598-ce8dd4cf784b,GLS Due Torri Pinot Noir,Wine,[],false,16.0,11.00,,176.0,3.35,0.0,0.0,172.65,,,,14.27,0.0,0.0,0.0,0.0,16.00,176.00
1300000000070704348,1300000000070704334,730904bb-625c-4201-a5cb-7caa2fcbaa67,GLS Nero,Wine,[],false,4.0,11.00,,44.0,0.0,0.0,0.0,44.0,,,,3.65,0.0,0.0,0.0,0.0,4.00,44.00
1300000000070704342,1300000000070704334,9df8294a-4cae-44a0-b896-e2473aabc1eb,GLS Opici Basket,Wine,[],false,13.0,11.00,,143.0,0.0,0.0,11.0,143.0,,,,11.83,0.0,0.0,11.0,1.0,14.00,154.00
1300000000070704350,1300000000070704334,4d0b9582-4b6f-4a2f-809a-2a944cabb7c2,GLS Campobello Chianti,Wine,[],false,1.0,12.00,,12.0,0.0,0.0,0.0,12.0,,,,0.99,0.0,0.0,0.0,0.0,1.00,12.00
1300000000070704350,1300000000070704334,4d0b9582-4b6f-4a2f-809a-2a944cabb7c2,GLS San Vicenti Chianti,Wine,[],false,27.0,12.00,,324.0,4.19,0.0,0.0,319.81,,,,26.39,0.0,0.0,0.0,0.0,27.00,324.00
1300000000070704346,1300000000070704334,20c1282c-f6e9-49e5-9e1f-06509e9d40aa,GLS Valpolicella,Wine,[],false,4.0,13.00,,52.0,0.0,0.0,13.0,52.0,,,,4.27,0.0,0.0,13.0,1.0,5.00,65.00
1300000000070704396,1300000000070704386,6381a07a-4687-4282-a2e7-6508f3b4113f,BTL Caesari Amarone,Wine,[],false,2.0,88.00,,176.0,17.6,0.0,0.0,158.4,,,,12.98,0.0,0.0,0.0,0.0,2.00,176.00
1300000000070704392,1300000000070704386,d575970b-c7db-4e10-a7fb-78a8c8e53ccc,BTL Cesari Valpolicella Ripasso,Wine,[],false,2.0,58.00,,116.0,0.0,0.0,0.0,116.0,,,,9.5,0.0,0.0,0.0,0.0,2.00,116.00
1300000000070704388,1300000000070704386,795d7e5c-d51b-4874-909e-3422394cdcab,BTL Luiano,Wine,[],false,2.0,37.00,,74.0,0.0,0.0,0.0,74.0,,,,6.08,0.0,0.0,0.0,0.0,2.00,74.00
1300000000070704420,1300000000070704414,d1f9b071-782b-435f-8e01-3ca4bbc833ec,BTL Lambrusco,Wine,[],false,3.0,36.00,,108.0,0.0,0.0,0.0,108.0,,,,8.85,0.0,0.0,0.0,0.0,3.00,108.00
1300000000070704418,1300000000070704414,eeaf84d9-9e9e-460b-a635-176d4e56704c,BTL Moscato,Wine,[],false,3.0,36.00,,108.0,0.0,0.0,0.0,108.0,,,,8.85,0.0,0.0,0.0,0.0,3.00,108.00
1300000000070704416,1300000000070704414,2f15c47f-7970-4267-9b8d-f63f54c7e05d,BTL Prosecco,Wine,[],false,1.0,38.00,,38.0,0.0,0.0,38.0,38.0,,,,3.12,0.0,0.0,38.0,1.0,2.00,76.00
1300000000070704412,1300000000070704406,4fb89b32-048d-4922-9ac4-4bcbb095ac5c,GLS Lambrusco,Wine,[],false,10.0,11.00,,110.0,0.0,0.0,44.0,110.0,,,,9.1,0.0,0.0,44.0,4.0,14.00,154.00
1300000000070704410,1300000000070704406,ab2664b5-38db-421a-b571-427c12acff84,GLS Moscato,Wine,[],false,18.0,11.00,,198.0,3.35,0.0,33.0,194.65,,,,16.09,0.0,0.0,33.0,3.0,21.00,231.00
1300000000070704408,1300000000070704406,543e251e-5652-4819-b1ce-dda557b2534a,GLS Prosecco,Wine,[],false,7.0,12.00,,84.0,0.0,0.0,0.0,84.0,,,,6.93,0.0,0.0,0.0,0.0,7.00,84.00
1300000000070704380,1300000000070704378,8ba35a41-0417-4a37-9ef7-e32363bf54fa,BTL Al Verdi Pinot Grigio,Wine,[],false,4.0,31.00,,124.0,0.0,0.0,0.0,124.0,,,,10.16,0.0,0.0,0.0,0.0,4.00,124.00
1300000000070704382,1300000000070704378,90c04f8d-5dab-498e-bd40-5884a7368047,BTL Chardonnay,Wine,[],false,1.0,36.00,,36.0,0.0,0.0,0.0,36.0,,,,2.95,0.0,0.0,0.0,0.0,1.00,36.00
1300000000070704384,1300000000070704378,564743ab-9acc-477e-8074-e1127fff147c,BTL Dogajolo White,Wine,[],false,1.0,38.00,,38.0,0.0,0.0,0.0,38.0,,,,3.12,0.0,0.0,0.0,0.0,1.00,38.00
1300000000070704372,1300000000070704370,ddda6f63-808b-4993-b647-a36d00905dde,GLS Al Verdi Pinot Grigio,Wine,[],false,39.0,10.00,,390.0,11.33,0.0,10.0,378.67,,,,30.95,0.0,0.0,10.0,1.0,40.00,400.00
1300000000070704374,1300000000070704370,c0b97d5b-87f6-4f40-bfea-92f6c95124b7,GLS Chardonnay,Wine,[],false,15.0,11.00,,165.0,0.0,0.0,0.0,165.0,,,,13.65,0.0,0.0,0.0,0.0,15.00,165.00
1300000000070704376,1300000000070704370,11588e78-a1fb-4064-b944-31f14b525c5d,GLS Dogajolo White,Wine,[],false,14.0,12.00,,168.0,12.0,0.0,0.0,156.0,,,,12.87,0.0,0.0,0.0,0.0,14.00,168.00
1300000000070704424,1300000000070742465,a7d677b4-e681-4fbe-9f9d-df77bdc843d1,Limoncello,Liquor,[],false,3.0,10.00,,30.0,0.0,0.0,10.0,30.0,,,,2.46,0.0,0.0,10.0,1.0,4.00,40.00
1300000000070704426,1300000000070742465,1b6141aa-de72-4eaa-bbfd-6653acb9ab58,Amaretto,Liquor,[],false,2.0,10.00,,20.0,0.0,0.0,10.0,20.0,,,,1.64,0.0,0.0,10.0,1.0,3.00,30.00
1300000000070704430,1300000000070742465,d4d22fc3-3968-41d9-83eb-cc5a1401c104,Mixed Drink,Liquor,[],false,3.0,8.00,,24.0,0.0,0.0,16.0,24.0,,,,1.98,0.0,0.0,16.0,2.0,5.00,40.00
1300000000070704432,1300000000070742465,f9ba217a-5c90-454e-9c3a-4e4e195763da,Premium Mixed,Liquor,[],false,6.0,10.00,,60.0,0.0,0.0,0.0,60.0,,,,4.92,0.0,0.0,0.0,0.0,6.00,60.00
1300000000070704434,1300000000070742465,848340c8-1eb6-4fc7-923c-edffed84e711,Double Mixed Drink,Liquor,[],false,1.0,12.00,,12.0,0.0,0.0,0.0,12.0,,,,0.99,0.0,0.0,0.0,0.0,1.00,12.00
1300000000070704436,1300000000070742465,d2353031-b19a-4faf-907a-e041361e79f9,"Bourbon ",Liquor,[],false,1.0,7.00,,7.0,0.0,0.0,7.0,7.0,,,,0.57,0.0,0.0,7.0,1.0,2.00,14.00
1300000005225172005,1300000000070742465,22e4d54f-bedc-485c-b589-f400101a5bc5,Coco di Vine,Liquor,[],false,0.0,0.00,,0.0,0.0,0.0,11.0,0.0,,,,0.0,0.0,0.0,11.0,1.0,1.00,11.00
1300000000070704448,1300000000070742466,b7f7877e-8807-42c7-919d-f548953fb017,Cioccolato Martini,Liquor,[],false,11.0,13.00,,143.0,3.48,0.0,0.0,139.52,,,,11.49,0.0,0.0,0.0,0.0,11.00,143.00
1300000000070704444,1300000000070742466,e68bd737-7f6c-4c01-a263-fd650bb2293f,Dirty Martini,Liquor,[],false,18.0,13.00,,234.0,2.72,0.0,13.0,231.28,,,,19.04,0.0,0.0,13.0,1.0,19.00,247.00
1300000000070704502,1300000000070742466,8ceceac0-3276-41bf-b512-9aed16b4cc96,Kick in the Head,Liquor,[],false,8.0,10.00,,80.0,0.0,0.0,20.0,80.0,,,,6.56,0.0,0.0,20.0,2.0,10.00,100.00
1300000000070704504,1300000000070742466,c56403b3-04ec-449c-a991-a177b6b4cee4,Limoncello Martini,Liquor,[],false,48.0,13.00,,624.0,0.0,0.0,13.0,624.0,,,,51.36,0.0,0.0,13.0,1.0,49.00,637.00
1300000000070704508,1300000000070742466,3c5c7430-0faa-465d-b787-45f0076b2077,Newton Fash,Liquor,[],false,21.0,16.00,,336.0,0.0,0.0,0.0,336.0,,,,27.51,0.0,0.0,0.0,0.0,21.00,336.00
1300000000070704500,1300000000070742466,9f6449a7-b8f5-468a-ad90-1cb0dd99eefd,Staten Island,Liquor,[],false,17.0,12.00,,204.0,1.2,0.0,12.0,202.8,,,,16.72,0.0,0.0,12.0,1.0,18.00,216.00
1300000000070704446,1300000000070742466,bc888c6b-2f9e-45cc-8fc8-514ba8589839,Valium,Liquor,[],false,24.0,12.00,,288.0,9.68,0.0,24.0,278.32,,,,22.91,0.0,0.0,24.0,2.0,26.00,312.00
1300000007862120744,1300000000070742466,9b22bd80-a7b4-4948-b010-af4a9e7ac465,Quiet Professional,Liquor,[],false,61.0,17.51,,1068.0,5.57,0.0,0.0,1062.43,,,,86.86,0.0,0.0,0.0,0.0,61.00,1068.00
1300000008498361886,1300000000070742466,d31816cc-5f3e-45bb-8d70-ddcf1dbf7831,Little Italy,Liquor,[],false,29.0,17.62,,511.0,0.0,0.0,0.0,511.0,,,,41.78,0.0,0.0,0.0,0.0,29.00,511.00
1300000011242222419,1300000000070742466,6890980b-0cd4-4fb8-9727-cbcc68ae0941,Roman Holiday,Liquor,[],false,10.0,16.00,,160.0,0.0,0.0,0.0,160.0,,,,13.10,0.0,0.0,0.0,0.0,10.00,160.00
1300000011526690469,1300000011526625636,b9c6fcd9-5e9c-4807-8d62-8f1889ba995a,Limoncello Spritz,,[],false,19.0,15.00,,285.0,0.0,0.0,0.0,285.0,,,,23.39,0.0,0.0,0.0,0.0,19.00,285.00
