Type,masterId,parentId,itemGuid,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
menuItem,1300000000070704350,1300000000070704334,4d0b9582-4b6f-4a2f-809a-2a944cabb7c2,Beer & Wine,Red Glass,,GLS San Vicenti Chianti,,,Wine,[],false,27.0,12.00,,324.0,4.19,0.0,0.0,319.81,,,,26.39,0.0,0.0,0.0,0.0,27.00,324.00
menuItem,1300000000070704346,1300000000070704334,20c1282c-f6e9-49e5-9e1f-06509e9d40aa,Beer & Wine,Red Glass,,GLS Valpolicella,,,Wine,[],false,4.0,13.00,,52.0,0.0,0.0,13.0,52.0,,,,4.27,0.0,0.0,13.0,1.0,5.00,65.00
"",1300000000070704386,,8d4bb422-0df8-48c3-9d7c-f7e961d54b88,Beer & Wine,Red Bottle Top Shelf,,,,,,,,6.0,61.00,,366.0,17.6,0.0,0.0,348.4,,,,28.56,0.0,0.0,0.0,0.0,6.00,366.00
menuItem,1300000000070704396,1300000000070704386,6381a07a-4687-4282-a2e7-6508f3b4113f,Beer & Wine,Red Bottle Top Shelf,,BTL Caesari Amarone,,,Wine,[],false,2.0,88.00,,176.0,17.6,0.0,0.0,158.4,,,,12.98,0.0,0.0,0.0,0.0,2.00,176.00
menuItem,1300000000070704392,1300000000070704386,d575970b-c7db-4e10-a7fb-78a8c8e53ccc,Beer & Wine,Red Bottle Top Shelf,,BTL Cesari Valpolicella Ripasso,,,Wine,[],false,2.0,58.00,,116.0,0.0,0.0,0.0,116.0,,,,9.5,0.0,0.0,0.0,0.0,2.00,116.00
menuItem,1300000000070704388,1300000000070704386,795d7e5c-d51b-4874-909e-3422394cdcab,Beer & Wine,Red Bottle Top Shelf,,BTL Luiano,,,Wine,[],false,2.0,37.00,,74.0,0.0,0.0,0.0,74.0,,,,6.08,0.0,0.0,0.0,0.0,2.00,74.00
"",1300000000070704414,,a5965ad5-8721-433e-b984-2fe7a64c8d21,Beer & Wine,Sparkling Bottle,,,,,,,,7.0,36.29,,254.0,0.0,0.0,38.0,254.0,,,,20.82,0.0,0.0,38.0,1.0,8.00,292.00
menuItem,1300000000070704420,1300000000070704414,d1f9b071-782b-435f-8e01-3ca4bbc833ec,Beer & Wine,Sparkling Bottle,,BTL Lambrusco,,,Wine,[],false,3.0,36.00,,108.0,0.0,0.0,0.0,108.0,,,,8.85,0.0,0.0,0.0,0.0,3.00,108.00
menuItem,1300000000070704418,1300000000070704414,eeaf84d9-9e9e-460b-a635-176d4e56704c,Beer & Wine,Sparkling Bottle,,BTL Moscato,,,Wine,[],false,3.0,36.00,,108.0,0.0,0.0,0.0,108.0,,,,8.85,0.0,0.0,0.0,0.0,3.00,108.00
menuItem,1300000000070704416,1300000000070704414,2f15c47f-7970-4267-9b8d-f63f54c7e05d,Beer & Wine,Sparkling Bottle,,BTL Prosecco,,,Wine,[],false,1.0,38.00,,38.0,0.0,0.0,38.0,38.0,,,,3.12,0.0,0.0,38.0,1.0,2.00,76.00
"",1300000000070704406,,4107670b-cf0a-4b7d-ba20-83790d168fc8,Beer & Wine,Sparkling Glass,,,,,,,,35.0,11.20,,392.0,3.35,0.0,77.0,388.65,,,,32.12,0.0,0.0,77.0,7.0,42.00,469.00
menuItem,1300000000070704412,1300000000070704406,4fb89b32-048d-4922-9ac4-4bcbb095ac5c,Beer & Wine,Sparkling Glass,,GLS Lambrusco,,,Wine,[],false,10.0,11.00,,110.0,0.0,0.0,44.0,110.0,,,,9.1,0.0,0.0,44.0,4.0,14.00,154.00
menuItem,1300000000070704410,1300000000070704406,ab2664b5-38db-421a-b571-427c12acff84,Beer & Wine,Sparkling Glass,,GLS Moscato,,,Wine,[],false,18.0,11.00,,198.0,3.35,0.0,33.0,194.65,,,,16.09,0.0,0.0,33.0,3.0,21.00,231.00
menuItem,1300000000070704408,1300000000070704406,543e251e-5652-4819-b1ce-dda557b2534a,Beer & Wine,Sparkling Glass,,GLS Prosecco,,,Wine,[],false,7.0,12.00,,84.0,0.0,0.0,0.0,84.0,,,,6.93,0.0,0.0,0.0,0.0,7.00,84.00
"",1300000000070704378,,1331fb07-0dbd-4a35-a8a0-488df5165474,Beer & Wine,White Bottle,,,,,,,,6.0,33.00,,198.0,0.0,0.0,0.0,198.0,,,,16.23,0.0,0.0,0.0,0.0,6.00,198.00
menuItem,1300000000070704380,1300000000070704378,8ba35a41-0417-4a37-9ef7-e32363bf54fa,Beer & Wine,White Bottle,,BTL Al Verdi Pinot Grigio,,,Wine,[],false,4.0,31.00,,124.0,0.0,0.0,0.0,124.0,,,,10.16,0.0,0.0,0.0,0.0,4.00,124.00
menuItem,1300000000070704382,1300000000070704378,90c04f8d-5dab-498e-bd40-5884a7368047,Beer & Wine,White Bottle,,BTL Chardonnay,,,Wine,[],false,1.0,36.00,,36.0,0.0,0.0,0.0,36.0,,,,2.95,0.0,0.0,0.0,0.0,1.00,36.00
